NOMBRE DEL INDICADOR,variable,value,año,mes
Morosidad de Cartera de Consumo,BP SOLIDARIO,3.53444879,2022,2
Morosidad de Cartera de Vivienda,BP SOLIDARIO,61.96044351,2022,2
Morosidad de Cartera Productiva,BP SOLIDARIO,0.09710263000000001,2022,2
Morosidad de Cartera de Microcrédito,BP SOLIDARIO,3.2428714800000003,2022,2
Morosidad de Cartera de Consumo,BANCOS PRIVADOS MEDIANOS,3.90001645,2022,2
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS MEDIANOS,2.4414072,2022,2
Morosidad de Cartera Productiva,BANCOS PRIVADOS MEDIANOS,0.44233145,2022,2
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS MEDIANOS,3.41961467,2022,2
Morosidad de Cartera de Consumo,BP PROCREDIT,1.78334218,2022,2
Morosidad de Cartera de Vivienda,BP PROCREDIT,2.06284754,2022,2
Morosidad de Cartera Productiva,BP PROCREDIT,2.2691548900000003,2022,2
Morosidad de Cartera de Microcrédito,BP PROCREDIT,3.4660313499999997,2022,2
Morosidad de Cartera de Consumo,BP AMAZONAS,4.50649429,2022,2
Morosidad de Cartera de Vivienda,BP AMAZONAS,7.9564505699999994,2022,2
Morosidad de Cartera Productiva,BP AMAZONAS,0.85429617,2022,2
Morosidad de Cartera de Microcrédito,BP AMAZONAS,35.798850869999995,2022,2
Morosidad de Cartera de Consumo,BP COMERCIAL DE MANABI,7.710266829999999,2022,2
Morosidad de Cartera de Vivienda,BP COMERCIAL DE MANABI,0,2022,2
Morosidad de Cartera Productiva,BP COMERCIAL DE MANABI,1.9414358900000002,2022,2
Morosidad de Cartera de Microcrédito,BP COMERCIAL DE MANABI,13.154369460000002,2022,2
Morosidad de Cartera de Consumo,BP LITORAL,7.69209416,2022,2
Morosidad de Cartera de Vivienda,BP LITORAL,0.00110795,2022,2
Morosidad de Cartera Productiva,BP LITORAL,2.459246,2022,2
Morosidad de Cartera de Microcrédito,BP LITORAL,9.13157982,2022,2
Morosidad de Cartera de Consumo,BP COOPNACIONAL,3.3325180000000003,2022,2
Morosidad de Cartera de Vivienda,BP COOPNACIONAL,0.0027458699999999996,2022,2
Morosidad de Cartera Productiva,BP COOPNACIONAL,0,2022,2
Morosidad de Cartera de Microcrédito,BP COOPNACIONAL,1.5329326699999999,2022,2
Morosidad de Cartera de Consumo,BP CAPITAL,3.27338479,2022,2
Morosidad de Cartera de Vivienda,BP CAPITAL,100,2022,2
Morosidad de Cartera Productiva,BP CAPITAL,0.54003359,2022,2
Morosidad de Cartera de Microcrédito,BP CAPITAL,11.926145069999999,2022,2
Morosidad de Cartera de Consumo,BP FINCA S.A.,15.643667480000001,2022,2
Morosidad de Cartera de Vivienda,BP FINCA S.A.,0,2022,2
Morosidad de Cartera Productiva,BP FINCA S.A.,0,2022,2
Morosidad de Cartera de Microcrédito,BP FINCA S.A.,11.388671729999999,2022,2
Morosidad de Cartera de Consumo,BP DELBANK,7.15128365,2022,2
Morosidad de Cartera de Vivienda,BP DELBANK,3.3114275899999996,2022,2
Morosidad de Cartera Productiva,BP DELBANK,1.19418578,2022,2
Morosidad de Cartera de Microcrédito,BP DELBANK,7.98975277,2022,2
Morosidad de Cartera de Consumo,BP D-MIRO S.A.,0,2022,2
Morosidad de Cartera de Vivienda,BP D-MIRO S.A.,0,2022,2
Morosidad de Cartera Productiva,BP D-MIRO S.A.,0,2022,2
Morosidad de Cartera de Microcrédito,BP D-MIRO S.A.,5.82401107,2022,2
Morosidad de Cartera de Consumo,BP CODESARROLLO,3.33893952,2022,2
Morosidad de Cartera de Vivienda,BP CODESARROLLO,2.80261012,2022,2
Morosidad de Cartera Productiva,BP CODESARROLLO,1.09687602,2022,2
Morosidad de Cartera de Microcrédito,BP CODESARROLLO,9.97522541,2022,2
Morosidad de Cartera de Consumo,BP VISIONFUND ECUADOR S.A.,0,2022,2
Morosidad de Cartera de Vivienda,BP VISIONFUND ECUADOR S.A.,0,2022,2
Morosidad de Cartera Productiva,BP VISIONFUND ECUADOR S.A.,0,2022,2
Morosidad de Cartera de Microcrédito,BP VISIONFUND ECUADOR S.A.,5.267834720000001,2022,2
Morosidad de Cartera de Consumo,BANCOS PRIVADOS PEQUEÑOS,4.75081705,2022,2
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS PEQUEÑOS,2.51902196,2022,2
Morosidad de Cartera Productiva,BANCOS PRIVADOS PEQUEÑOS,1.70994692,2022,2
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS PEQUEÑOS,6.9723573299999995,2022,2
Morosidad de Cartera de Consumo,TOTAL BANCOS PRIVADOS,3.22133935,2022,2
Morosidad de Cartera de Vivienda,TOTAL BANCOS PRIVADOS,3.71516519,2022,2
Morosidad de Cartera Productiva,TOTAL BANCOS PRIVADOS,0.95283519,2022,2
Morosidad de Cartera de Microcrédito,TOTAL BANCOS PRIVADOS,4.0189005,2022,2
Morosidad de Cartera de Consumo,BANCOS PRIVADOS COMERCIALES,4.78686933,2022,2
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS COMERCIALES,2.67685392,2022,2
Morosidad de Cartera Productiva,BANCOS PRIVADOS COMERCIALES,0.13580866,2022,2
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS COMERCIALES,4.45331052,2022,2
Morosidad de Cartera de Consumo,BANCOS PRIVADOS CONSUMO,3.5353705399999997,2022,2
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS CONSUMO,2.29828229,2022,2
Morosidad de Cartera Productiva,BANCOS PRIVADOS CONSUMO,2.34111924,2022,2
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS CONSUMO,9.13256565,2022,2
Morosidad de Cartera de Consumo,BANCOS PRIVADOS VIVIENDA,0,2022,2
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS VIVIENDA,0,2022,2
Morosidad de Cartera Productiva,BANCOS PRIVADOS VIVIENDA,0,2022,2
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS VIVIENDA,0,2022,2
Morosidad de Cartera de Consumo,BANCOS PRIVADOS MICROCRÉDITO,15.48259533,2022,2
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS MICROCRÉDITO,0,2022,2
Morosidad de Cartera Productiva,BANCOS PRIVADOS MICROCRÉDITO,0,2022,2
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS MICROCRÉDITO,6.9802778199999995,2022,2
Morosidad de Cartera de Consumo,BANCA MÚLTIPLE,3.08476425,2022,2
Morosidad de Cartera de Vivienda,BANCA MÚLTIPLE,3.84116095,2022,2
Morosidad de Cartera Productiva,BANCA MÚLTIPLE,1.08610409,2022,2
Morosidad de Cartera de Microcrédito,BANCA MÚLTIPLE,3.7403170299999995,2022,2
Morosidad de Cartera de Consumo,BP GUAYAQUIL,1.53637046,2022,3
Morosidad de Cartera de Vivienda,BP GUAYAQUIL,2.25834418,2022,3
Morosidad de Cartera Productiva,BP GUAYAQUIL,0.81789443,2022,3
Morosidad de Cartera de Microcrédito,BP GUAYAQUIL,3.06748955,2022,3
Morosidad de Cartera de Consumo,BP PACIFICO,3.27533922,2022,3
Morosidad de Cartera de Vivienda,BP PACIFICO,5.2971919100000004,2022,3
Morosidad de Cartera Productiva,BP PACIFICO,1.94496495,2022,3
Morosidad de Cartera de Microcrédito,BP PACIFICO,30.74588425,2022,3
Morosidad de Cartera de Consumo,BP PICHINCHA,3.0108142399999998,2022,3
Morosidad de Cartera de Vivienda,BP PICHINCHA,4.2109909299999995,2022,3
Morosidad de Cartera Productiva,BP PICHINCHA,1.76254065,2022,3
Morosidad de Cartera de Microcrédito,BP PICHINCHA,3.6460909299999997,2022,3
Morosidad de Cartera de Consumo,BP PRODUBANCO,2.8398134500000003,2022,3
Morosidad de Cartera de Vivienda,BP PRODUBANCO,3.42884753,2022,3
Morosidad de Cartera Productiva,BP PRODUBANCO,0.54703145,2022,3
Morosidad de Cartera de Microcrédito,BP PRODUBANCO,2.8433202800000004,2022,3
Morosidad de Cartera de Consumo,BANCOS PRIVADOS GRANDES,2.7605268,2022,3
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS GRANDES,4.13843296,2022,3
Morosidad de Cartera Productiva,BANCOS PRIVADOS GRANDES,1.24238649,2022,3
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS GRANDES,3.66732404,2022,3
Morosidad de Cartera de Consumo,BP AUSTRO,7.12912398,2022,3
Morosidad de Cartera de Vivienda,BP AUSTRO,1.60628968,2022,3
Morosidad de Cartera Productiva,BP AUSTRO,1.07320166,2022,3
Morosidad de Cartera de Microcrédito,BP AUSTRO,16.27898399,2022,3
Morosidad de Cartera de Consumo,BP BOLIVARIANO,2.40268026,2022,3
Morosidad de Cartera de Vivienda,BP BOLIVARIANO,2.8097290399999997,2022,3
Morosidad de Cartera Productiva,BP BOLIVARIANO,0.24808312999999999,2022,3
Morosidad de Cartera de Microcrédito,BP BOLIVARIANO,0,2022,3
Morosidad de Cartera de Consumo,BP CITIBANK,0,2022,3
Morosidad de Cartera de Vivienda,BP CITIBANK,0,2022,3
Morosidad de Cartera Productiva,BP CITIBANK,7.6e-7,2022,3
Morosidad de Cartera de Microcrédito,BP CITIBANK,0,2022,3
Morosidad de Cartera de Consumo,BP DINERS,4.03563084,2022,3
Morosidad de Cartera de Vivienda,BP DINERS,0,2022,3
Morosidad de Cartera Productiva,BP DINERS,2.5984040399999997,2022,3
Morosidad de Cartera de Microcrédito,BP DINERS,0,2022,3
Morosidad de Cartera de Consumo,BP GENERAL RUMIÑAHUI,1.91043459,2022,3
Morosidad de Cartera de Vivienda,BP GENERAL RUMIÑAHUI,1.7677187600000002,2022,3
Morosidad de Cartera Productiva,BP GENERAL RUMIÑAHUI,1.11401082,2022,3
Morosidad de Cartera de Microcrédito,BP GENERAL RUMIÑAHUI,100,2022,3
Morosidad de Cartera de Consumo,BP INTERNACIONAL,3.88020039,2022,3
Morosidad de Cartera de Vivienda,BP INTERNACIONAL,2.7653569499999997,2022,3
Morosidad de Cartera Productiva,BP INTERNACIONAL,0.14659396,2022,3
Morosidad de Cartera de Microcrédito,BP INTERNACIONAL,4.19772614,2022,3
Morosidad de Cartera de Consumo,BP LOJA,2.18001475,2022,3
Morosidad de Cartera de Vivienda,BP LOJA,1.8500099799999998,2022,3
Morosidad de Cartera Productiva,BP LOJA,1.88456199,2022,3
Morosidad de Cartera de Microcrédito,BP LOJA,2.83803393,2022,3
Morosidad de Cartera de Consumo,BP MACHALA,2.3691202099999997,2022,3
Morosidad de Cartera de Vivienda,BP MACHALA,1.42029449,2022,3
Morosidad de Cartera Productiva,BP MACHALA,0.60714486,2022,3
Morosidad de Cartera de Microcrédito,BP MACHALA,6.83491326,2022,3
Morosidad de Cartera de Consumo,BP SOLIDARIO,3.4977157199999995,2022,3
Morosidad de Cartera de Vivienda,BP SOLIDARIO,63.258345979999994,2022,3
Morosidad de Cartera Productiva,BP SOLIDARIO,0.09450468000000001,2022,3
Morosidad de Cartera de Microcrédito,BP SOLIDARIO,3.2806777,2022,3
Morosidad de Cartera de Consumo,BANCOS PRIVADOS MEDIANOS,3.75874224,2022,3
Morosidad de Cartera de Vivienda,BANCOS PRIVADOS MEDIANOS,2.22517108,2022,3
Morosidad de Cartera Productiva,BANCOS PRIVADOS MEDIANOS,0.40788847000000006,2022,3
Morosidad de Cartera de Microcrédito,BANCOS PRIVADOS MEDIANOS,3.45778204,2022,3
Morosidad de Cartera de Consumo,BP PROCREDIT,1.6995479,2022,3
Morosidad de Cartera de Vivienda,BP PROCREDIT,0.7111527599999999,2022,3
Morosidad de Cartera Productiva,BP PROCREDIT,2.264214,2022,3
Morosidad de Cartera de Microcrédito,BP PROCREDIT,3.9561928699999998,2022,3
Morosidad de Cartera de Consumo,BP AMAZONAS,4.41674376,2022,3
Morosidad de Cartera de Vivienda,BP AMAZONAS,7.87079799,2022,3
Morosidad de Cartera Productiva,BP AMAZONAS,0.88531378,2022,3
Morosidad de Cartera de Microcrédito,BP AMAZONAS,11.90529083,2022,3
